"ticker";"2018";"2019";"2020";"2021";"2022";"2023"
"MSI";518800000000;427470000000;328820000000;245880000000;143080000000;47570000000
"MSCI";512400000000;421890000000;337010000000;250480000000;137190000000;42810000000
"MTB";519820000000;422160000000;316330000000;219760000000;125030000000;20860000000
"NDAQ";513470000000;417680000000;321770000000;235110000000;130140000000;25510000000
"NOV";59850000000;49660000000;35330000000;25290000000;18200000000;8500000000
"NTAP";515030000000;414200000000;314790000000;220440000000;112940000000;16350000000
"NFLX";5116850000000;4141980000000;3238890000000;2267460000000;1131220000000;194930000000
"NWL";57850000000;48130000000;39000000000;29290000000;15400000000;4430000000
"NEM";518460000000;435100000000;348110000000;249450000000;137460000000;31240000000
"NWS";56670000000;48390000000;310570000000;212050000000;110520000000;12250000000
"NEE";583080000000;4118410000000;3151140000000;2183180000000;1166120000000;135320000000
"NLSN";58280000000;47220000000;37460000000;27360000000;110060000000;10060000000
"NKE";5116910000000;4157940000000;3223020000000;2263550000000;1183070000000;156600000000
"NI";59430000000;410630000000;38790000000;210840000000;111130000000;10970000000
"NBL";38960000000;211880000000;14100000000;4100000000;0;0
"NDSN";56910000000;49390000000;311670000000;214850000000;113580000000;13990000000
"JWN";57790000000;46350000000;34920000000;23600000000;12580000000;2590000000
"NSC";540090000000;450060000000;360340000000;271490000000;157040000000;46850000000
"NTRS";518300000000;422270000000;319380000000;224850000000;118440000000;15990000000
"NOC";541780000000;457730000000;350800000000;260490000000;183970000000;65900000000
"NCLH";59220000000;412440000000;38020000000;28640000000;15150000000;6970000000
"NRG";511230000000;49890000000;39170000000;210540000000;17330000000;8800000000
"NUE";515830000000;416980000000;316050000000;231040000000;133810000000;42920000000
"NVDA";581430000000;4144000000000;3323240000000;2735270000000;1364180000000;1198000000000
"NVR";58710000000;413830000000;315170000000;220370000000;114740000000;21240000000
"NXPI";521450000000;435810000000;344480000000;260570000000;140950000000;54120000000
"OXY";545990000000;436840000000;316110000000;227070000000;157250000000;57570000000
"ODFL";510030000000;415120000000;322900000000;241210000000;131350000000;47620000000
"OMC";516390000000;417580000000;313400000000;215570000000;116630000000;15840000000
"OKE";522200000000;431260000000;317050000000;226200000000;129360000000;29340000000
"ON";56830000000;410020000000;313450000000;229260000000;126970000000;42920000000
"ORCL";5162030000000;4169940000000;3190440000000;2232880000000;1220390000000;328230000000
"ORLY";527210000000;433140000000;332780000000;247580000000;152810000000;57090000000
"OGN";0;0;0;27720000000;17100000000;5650000000
"OTIS";0;0;329260000000;236980000000;132620000000;35480000000
"PCAR";519800000000;427390000000;329890000000;230650000000;134410000000;43660000000
"PCG";512350000000;45750000000;324720000000;227310000000;134510000000;41170000000
"PKG";57880000000;410600000000;313070000000;212930000000;111830000000;13440000000
"PARA";516310000000;425960000000;323010000000;219680000000;111070000000;9000000000
"PH";519290000000;426410000000;335080000000;240880000000;137360000000;54250000000
"PAYX";523390000000;430480000000;333600000000;249240000000;141650000000;44130000000
