"tickers";"capex2018";"capex2019";"capex2020";"capex2021";"capex2022";"net_assets_from_acquisitions2018";"net_assets_from_acquisitions2019";"net_assets_from_acquisitions2020";"net_assets_from_acquisitions2021";"net_assets_from_acquisitions2022";"sale_of_fixed_assets_businesses2018";"sale_of_fixed_assets_businesses2019";"sale_of_fixed_assets_businesses2020";"sale_of_fixed_assets_businesses2021";"sale_of_fixed_assets_businesses2022"
"BK";"(1.11B)";"(1.21B)";"(1.22B)";"(1.22B)";"(1.35B)";"-";"-";"-";"(170M)";"-";"107M";"-";"-";"42M";"491M"
"BKNG";"(442M)";"(368M)";"(286M)";"(304M)";"(368M)";"(273M)";"(9M)";"-";"(1.19B)";"-";"-";"-";"-";"-";"601M"
"BKR";"(995M)";"(1.24B)";"(974M)";"(856M)";"(989M)";"(594M)";"(176M)";"(26M)";"(179M)";"(845M)";"911M";"341M";"374M";"385M";"217M"
"BLK";"(204M)";"(254M)";"(194M)";"(341M)";"(533M)";"(699M)";"(1.51B)";"-";"(1.11B)";"-";"-";"-";"-";"-";"-"
"BMY";"(951M)";"(836M)";"(753M)";"(973M)";"(1.12B)";"(1.25B)";"(24.63B)";"(13.08B)";"(1.61B)";"(4.29B)";"1.25B";"15.85B";"870M";"748M";"1.31B"
"BR";"(72.6M)";"(98.7M)";"(100.7M)";"(73.1M)";"(75.2M)";"(354.7M)";"(339.1M)";"(2.6B)";"(13.3M)";"-";"-";"-";"18M";"-";"-"
"BRK.B";"(14.54B)";"(15.98B)";"(13.01B)";"(13.28B)";"(15.46B)";"(3.28B)";"(1.68B)";"(2.53B)";"(456M)";"(10.59B)";"-";"-";"-";"-";"-"
"BRO";"(41.52M)";"(73.11M)";"(70.7M)";"(45.05M)";"(52.6M)";"(923.87M)";"(353.04M)";"(694.84M)";"(366.78M)";"(1.93B)";"4.98M";"21.59M";"9.62M";"16.74M";"60.4M"
"BSX";"(316M)";"(461M)";"(376M)";"(554M)";"(588M)";"(1.45B)";"(4.38B)";"(3M)";"(2.26B)";"(1.54B)";"15M";"97M";"27M";"840M";"17M"
"BWA";"(546.6M)";"(481M)";"(461M)";"(668M)";"(723M)";"-";"(10M)";"(449M)";"(792M)";"(371M)";"36M";"37M";"20M";"36M";"50M"
"BXP";"(399.81M)";"(432.39M)";"(394.55M)";"(414.95M)";"(398.09M)";"-";"(186.96M)";"-";"-";"-";"46.7M";"35.82M";"8.22M";"18M";"849K"
"C";"(3.77B)";"(5.34B)";"(3.45B)";"(4.12B)";"(5.63B)";"-";"-";"-";"-";"-";"212M";"259M";"50M";"190M";"63M"
"CAG";"(353.1M)";"(369.5M)";"(506.4M)";"(464.4M)";"(362.2M)";"(5.12B)";"-";"-";"-";"-";"304M";"208.6M";"163.4M";"20.3M";"3.2M"
"CAH";"(328M)";"(375M)";"(400M)";"(387M)";"(481M)";"(82M)";"-";"(3M)";"(22M)";"(13M)";"763M";"2M";"-";"954M";"12M"
"CARR";"(263M)";"(243M)";"(312M)";"(344M)";"(353M)";"(310M)";"-";"-";"(366M)";"(506M)";"1.03B";"6M";"-";"-";"2.9B"
"CAT";"(2.92B)";"(2.67B)";"(2.12B)";"(2.47B)";"(2.6B)";"(392M)";"(47M)";"(111M)";"(490M)";"(88M)";"952M";"1.19B";"797M";"1.3B";"831M"
"CB";"-";"-";"-";"-";"-";"-";"(29M)";"-";"-";"(4.98B)";"-";"-";"-";"-";"-"
"CBOE";"(36.3M)";"(35.1M)";"(47.4M)";"(51M)";"(59.8M)";"-";"-";"(351.5M)";"(151.5M)";"(708.3M)";"-";"-";"-";"-";"-"
"CBRE";"(227.8M)";"(293.51M)";"(266.58M)";"(209.85M)";"(260.14M)";"(322.57M)";"(355.93M)";"(27.85M)";"(781.49M)";"(173.58M)";"25.36M";"46.61M";"2.17M";"862K";"2.43M"
"CCI";"(1.74B)";"(2.06B)";"(1.62B)";"(1.23B)";"(1.31B)";"(42M)";"(17M)";"(107M)";"(111M)";"(35M)";"-";"-";"-";"-";"-"
"CCL";"(3.75B)";"(5.43B)";"(3.62B)";"(3.61B)";"(4.94B)";"-";"-";"(81M)";"(90M)";"(1M)";"389M";"26M";"334M";"351M";"70M"
"CDAY";"(40.2M)";"(55.2M)";"(59.8M)";"(63.7M)";"(94.5M)";"-";"(30.2M)";"(58.3M)";"(409.5M)";"-";"-";"-";"-";"37.9M";"-"
"CDNS";"(61.5M)";"(74.61M)";"(94.81M)";"(66.88M)";"(124.22M)";"-";"(338K)";"(197.56M)";"(226.2M)";"(613.79M)";"-";"-";"-";"-";"-"
"CDW";"(86.1M)";"(236.3M)";"(158M)";"(100M)";"(127.8M)";"-";"(95.1M)";"(43M)";"(2.71B)";"(36.7M)";"-";"-";"-";"-";"-"
"CE";"(337M)";"(370M)";"(364M)";"(467M)";"(543M)";"(144M)";"(91M)";"(100M)";"(1.14B)";"(10.59B)";"13M";"1M";"21M";"27M";"48M"
